ดอนข่อย(คงสมโอษฐ์ราษฏร์บำรุง),ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ดู่ฝายใหญ่,ต.หนองแคน อ.ปทุมรัตต์ จ.ร้อยเอ็ด 45190,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดูน(บักตู้ โนนตาแสง),ต.โนนสวรรค์ อ.ปทุมรัตต์ จ.ร้อยเอ็ด 45190,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงช้าง,ต.โนนสง่า อ.ปทุมรัตต์ จ.ร้อยเอ็ด 45190,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงแดงหนองเพียขันธ์,ต.ดงแดง อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดงกลาง,ต.ดงกลาง อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดงยาง,ต.ดู่น้อย อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดู่น้อย,ต.ดู่น้อย อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนแคน,ต.ศรีโคตร อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนชัย,ต.หนองพอก อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดู่,ต.ธวัชบุรี อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดงบ้านนาประชาสรรค์,ต.มะอึ อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดู่ไพศาล,ต.ไพศาล อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนเจริญ,ต.พนมไพร อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนแดง,ต.แสนสุข อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงมัน,ต.กุดน้ำใส อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนดู่,ต.วารีสวัสดิ์ อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนบ่อดอนแฮด,ต.โพธิ์ชัย อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนคำ,ต.คำไฮ อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงกลาง,ต.โคกกกม่วง อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดงดิบ,ต.หนองใหญ่ อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนหวาย,ต.โนนชัยศรี อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนชาด,ต.อุ่มเม่า อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนควาย,ต.สะอาด อ.โพธิ์ชัย จ.ร้อยเอ็ด 45230,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดงยาง,ต.ดอนโอง อ.โพธิ์ชัย จ.ร้อยเอ็ด 45230,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนเรือ,ต.ดอนโอง อ.โพธิ์ชัย จ.ร้อยเอ็ด 45230,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนโองท่าวารีวิทยาสรรค์,ต.ดอนโอง อ.โพธิ์ชัย จ.ร้อยเอ็ด 45230,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนน้อยท่าแห่ตาลม,ต.เมืองไพร อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดงหวาย,ต.เกาะแก้ว อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดงแจ้งโนนสูง,ต.เหล่าน้อย อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดงประเสริฐ,ต.ขวัญเมือง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ดอนยาง,ต.สระคู อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอกไม้,ต.ดอกไม้ อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนแคน,ต.ทุ่งกุลา อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนหม่วย,ต.โพนทราย อ.โพนทราย จ.ร้อยเอ็ด 45240,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงหมากไฟ,ต.ศรีสว่าง อ.โพนทราย จ.ร้อยเอ็ด 45240,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนขาม,ต.ศรีสว่าง อ.โพนทราย จ.ร้อยเอ็ด 45240,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงบัง,ต.โพนเมือง อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงสว่าง,ต.หนองขาม อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงเมืองจอก,ต.บ้านดู่ อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดู่,ต.บ้านดู่ อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงสิงห์(ดำรงราษฎร์สามัคคี),ต.ดงสิงห์ อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดงเครือวัลย์,ต.ผักแว่น อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนแดง,ต.เชียงขวัญ อ.เชียงขวัญ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนวิเวก(วิเวกวิทยาคาร),ต.พระธาตุ อ.เชียงขวัญ จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนสำราญ,ต.พระธาตุ อ.เชียงขวัญ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดงบัง(พิกุลศึกษาคาร),ต.พระเจ้า อ.เชียงขวัญ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนพยอมน้อย,ต.บ้านเขือง อ.เชียงขวัญ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนแดง,ต.สาวแห อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดูกอึ่งศรีเจริญ(ศรีปัญญาวิทยาคม),ต.ดูกอึ่ง อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดงเย็น,ต.เด่นราษฎร์ อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ดอนแก้ว,ต.บึงงาม อ.ทุ่งเขาหลวง จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ดอนสนวน,ต.หลุบ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ดอนอุมรัว,ต.บัวขาว อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ดงมัน,ต.สมสะอาด อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ดงหมู,ต.คุ้มเก่า อ.เขาวง จ.กาฬสินธุ์ 46160,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ดงน้อย,ต.หนองอิเฒ่า อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
ดอนกลอย(พิลาศอุปถัมภ์),ต.หนองอิเฒ่า อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
ดงอัคคะ,ต.คลองขาม อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
ดินจี่,ต.ดินจี่ อ.คำม่วง จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ดงสวนพัฒนา,ต.นาทัน อ.คำม่วง จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ดงแหลม,ต.หมูม่น อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ดอนหมูโพธิ์ศรี(ชุมชนพัฒนา),ต.งิ้วด่อน อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดอนสัมพันธ์,ต.หนองลาด อ.เมืองสกลนคร จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดอนแคน(คุรุราษฎร์ผดุงวิทย์),ต.หนองลาด อ.เมืองสกลนคร จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดอนเชียงคูณ,ต.เชียงเครือ อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดงยอสามัคคีพิทยาศิลป์,ต.พังขว้าง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดงขุมข้าว,ต.พังขว้าง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดงขวาง,ต.ดงมะไฟ อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดงมะไฟสามัคคีราษฎร์อุทิศ,ต.ดงมะไฟ อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดอนยาง(สหราษฎร์บำรุงวิทย์),ต.เหล่าปอแดง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดอนม่วย,ต.ช้างมิ่ง อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนกอย,ต.สว่าง อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนตาลโนนสูง,ต.พังโคน อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนหวาย,ต.ม่วงไข่ อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงสวรรค์หนองนกกด,ต.ไฮหย่อง อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนดู่,ต.ต้นผึ้ง อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงคำโพธิ์,ต.ปลาโหล อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนยานาง,ต.ปลาโหล อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนยาวประชากรอุปการ,ต.หนองลาด อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงบัง,ต.ค้อเขียว อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนส้มโฮงวิทยาคม,ต.ค้อเขียว อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงสว่าง,ต.นิคมน้ำอูน อ.นิคมน้ำอูน จ.สกลนคร 47270,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนแดง,ต.ศรีวิชัย อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนยานาง,ต.นาซอ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนมูย,ต.นาคำ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนคำ,ต.นาแต้ อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงบัง,ต.แพด อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงอีด่อย,ต.แพด อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงยาง,ต.ม่วง อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงห้วยเปลือย,ต.ดงหม้อทอง อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงเหนือ,ต.ดงเหนือ อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนแดงคำอ้อ,ต.ดงเหนือ อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงหม้อทอง,ต.ดงหม้อทองใต้ อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ด่านสมบูรณ์,ต.ดงหม้อทองใต้ อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนแดงเม่นใหญ่,ต.อากาศ อ.อากาศอำนวย จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงมะกุ้ม,ต.โพนงาม อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงสาร,ต.โพนงาม อ.อากาศอำนวย จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงเสียว,ต.โพนงาม อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนแดง,ต.ท่าก้อน อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนทอย,ต.สามัคคีพัฒนา อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงสวรรค์(คุรุราษฎร์รังสรรค์),ต.สว่างแดนดิน อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงจันทูหนองไผ่(ราษฎร์บำรุง),ต.คำสะอาด อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนม่วงไข่,ต.บ้านต้าย อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนหัน,ต.บงเหนือ อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนเชียงยืน,ต.โพนสูง อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดอนยานาง(อ.สว่างแดนดิน),ต.ทรายมูล อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงแสนตอ(ผดุงราษฎร์วิทยาคาร),ต.วัฒนา อ.ส่องดาว จ.สกลนคร 47190,เขตพื้นที่การศึกษาสกลนคร เขต 2
ดงหลวง,ต.บึงทวาย อ.เต่างอย จ.สกลนคร 47260,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดงหนองเหียน,ต.เหล่าโพนค้อ อ.โคกศรีสุพรรณ จ.สกลนคร 47280,เขตพื้นที่การศึกษาสกลนคร เขต 1
ด่านม่วงคำ,ต.ด่านม่วงคำ อ.โคกศรีสุพรรณ จ.สกลนคร 47280,เขตพื้นที่การศึกษาสกลนคร เขต 1
ดงบัง(คุรุราษฎร์อุทิศ),ต.บ้านเหล่า อ.เจริญศิลป์ จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงบาก,ต.บ้านเหล่า อ.เจริญศิลป์ จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนชัยวิทยา,ต.ทุ่งแก อ.เจริญศิลป์ จ.สกลนคร 47290,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดงสง่า,ต.หนองแปน อ.เจริญศิลป์ จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 3
ดอนยานาง,ต.นาทราย อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดงสว่าง,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนม่วง,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดงติ้ว,ต.บ้านกลาง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดงยอ,ต.บ้านกลาง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดงหมู,ต.ท่าค้อ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนแดง,ต.คำเตย อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดงโชค,ต.หนองญาติ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดงต้อง,ต.ดงขวาง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนดู่,ต.กุตาไก้ อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนกลาง,ต.มหาชัย อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนแดง,ต.ท่าจำปา อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนติ้ว,ต.ท่าจำปา อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนดู่,ต.ไชยบุรี อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
ดง,ต.พนอม อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนติ้ว(ยาสูบสงเคราะห์),ต.บ้านแพง อ.บ้านแพง จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนสะฝาง,ต.โพนทอง อ.บ้านแพง จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนบาก,ต.นางัว อ.บ้านแพง จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนกลาง,ต.หนองแวง อ.บ้านแพง จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
ดงก้อม,ต.นาถ่อน อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดงป่ายูง,ต.นาถ่อน อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดงยอ,ต.นาถ่อน อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดงขวาง,ต.แสนพัน อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนนางหงส์(หงส์ทองวิทยาคาร),ต.ดอนนางหงส์ อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนข้าวหลาม,ต.น้ำก่ำ อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนสวรรค์,ต.อุ่มเหม้า อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนแดง,ต.ธาตุพนมเหนือ อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ดงบาก,ต.โพนทอง อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
ดงมะเอก,ต.โพนทอง อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนกกโพธิ์ค่ายเสรีวิทยา,ต.นางาม อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนขาว,ต.นาขาม อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
ดงอินำ,ต.พระซอง อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
ดงน้อยพัฒนา,ต.พิมาน อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
ดอนโทน,ต.ก้านเหลือง อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
ดงดู่งาม,ต.หนองบ่อ อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
ดินดำหมากเฟือง,ต.หนองบ่อ อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
ดงขวาง,ต.บ้านเอื้อง อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
ดงน้อย,ต.สามผง อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนแดง,ต.ท่าบ่อสงคราม อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนมะจ่าง,ต.ท่าบ่อสงคราม อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
ดอนสมอ,ต.ท่าบ่อสงคราม อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
