หนองจอก(ภักดีนรเศรษฐ),แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
หนองพันจันทร์,ต.หนองพันจันทร์ อ.บ้านคา จ.ราชบุรี 70180,เขตพื้นที่การศึกษาราชบุรี เขต 1
หนองพันท้าว(พรประชาวิทยาคาร),ต.พงตึก อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองโรง,ต.ยางม่วง อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
ห้วยตะเคียน,ต.ยางม่วง อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองพลับ,ต.แสนตอ อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองไม้แก่น,ต.หนองลาน อ.ท่ามะกา จ.กาญจนบุรี 71130,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองลาน,ต.หนองลาน อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองเสือ,ต.วังศาลา อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
หนองพังตรุ,ต.พังตรุ อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
หนองตะโก,ต.เขาน้อย อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
หนองตะครอง,ต.หนองตากยา อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
หินดาด,ต.หินดาด อ.ทองผาภูมิ จ.กาญจนบุรี 71180,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
ห้วยสะพาน,ต.หนองโรง อ.พนมทวน จ.กาญจนบุรี 71140,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองบัว,ต.กลอนโด อ.ด่านมะขามเตี้ย จ.กาญจนบุรี 71260,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
หนองไม้เอื้อย,ต.หนองปรือ อ.หนองปรือ จ.กาญจนบุรี 71220,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หนองปลิง,ต.ดอนแสลบ อ.ห้วยกระเจา จ.กาญจนบุรี 71170,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
หัวไผ่,ต.ทับตีเหล็ก อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
หน่อสุวรรณ,ต.โคกโคเฒ่า อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
หนองโสน,ต.สนามคลี อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72230,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
หนองกรด,ต.โคกช้าง อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หัวเขา,ต.หัวเขา อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หัวนา,ต.หัวนา อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองกระทุ่ม,ต.หนองกระทุ่ม อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองเปาะ,ต.ด่านช้าง อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ห้วยสุวรรณวนาราม,ต.ดอนปรู อ.ศรีประจันต์ จ.สุพรรณบุรี 72140,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
หนองหลอด,ต.ดอนเจดีย์ อ.ดอนเจดีย์ จ.สุพรรณบุรี 72170,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หนองแจง,ต.ไร่รถ อ.ดอนเจดีย์ จ.สุพรรณบุรี 72170,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หัวโพธิ์,ต.หัวโพธิ์ อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หนองพันเทา,ต.บ่อสุพรรณ อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หัวกลับ,ต.บ่อสุพรรณ อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หนองผักนาก,ต.หนองผักนาก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองไผ่,ต.หนองผักนาก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองโรง,ต.หนองผักนาก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองสังข์ทอง,ต.หนองผักนาก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองสะเดา,ต.หนองสะเดา อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
หนองตาสาม,ต.อู่ทอง อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หนองยายทรัพย์,ต.สระยายโสม อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หนองหลุม,ต.หนองโอ่ง อ.อู่ทอง จ.สุพรรณบุรี ๗๒๑๖๐,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ห้วยคู้สามัคคี,ต.ดอนคา อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
หนองทราย,ต.หนองราชวัตร อ.หนองหญ้าไซ จ.สุพรรณบุรี 72240,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ห้วยจรเข้วิทยาคม,ต.พระปฐมเจดีย์ อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองดินแดง,ต.หนองดินแดง อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองเสือ,ต.หนองดินแดง อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
หว้าเอน,ต.โพรงมะเดื่อ อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
หุบรัก,ต.โพรงมะเดื่อ อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองปลาไหล,ต.ทุ่งกระพังโหม อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองจิก,ต.ทุ่งลูกนก อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองศาลา,ต.ทุ่งลูกนก อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
ห้วยผักชี,ต.ทุ่งลูกนก อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองโพธิ์,ต.ห้วยหมอนทอง อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
ห้วยม่วง,ต.ห้วยม่วง อ.กำแพงแสน จ.นครปฐม 73180,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองกระทุ่ม,ต.หนองกระทุ่ม อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
ห้วยตะโก,ต.พะเนียด อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
ห้วยพลู,ต.ห้วยพลู อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
ห้วยพระ,ต.ห้วยพระ อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
หนองกระพี้,ต.บ้านหลวง อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
หอมเกร็ด,ต.หอมเกร็ด อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
หนองนกไข่,ต.หนองนกไข่ อ.กระทุ่มแบน จ.สมุทรสาคร 74110,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
หลักสี่พิพัฒน์ราษฏร์อุปถัมภ์,ต.ยกกระบัตร อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
หลักสี่ราษฎร์สโมสร,ต.ยกกระบัตร อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
หนองสองห้อง(สายชนูปถัมภ์),ต.หนองสองห้อง อ.บ้านแพ้ว จ.สมุทรสาคร 74110,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
หนองบัว,ต.หนองบัว อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
หลักสองราษฎร์บํารุง,ต.หลักสอง อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
หนองควง (ปริยัติพุทธสรราษฎร์นุเคราะห์),ต.ต้นมะพร้าว อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
หนองไม้เหลือง (ธรรมโชติประชาธร),ต.ดอนยาง อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
หนองหว้า (เสธิยสาธร),ต.หนองขนาน อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
หนองส้ม,ต.สระพัง อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
หนองปลาไหล (วชิรราษฎร์วิทยา),ต.หนองปลาไหล อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
หนองปรง (บุญมานุสรณ์),ต.หนองปรง อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
ห้วยโรง (หนึ่งนฤมิตรพิทยาคาร),ต.ห้วยโรง อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
หนองศาลา (ธรรมกรประสาท),ต.หนองศาลา อ.ชะอำ จ.เพชรบุรี 76120,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หนองจอก (ศรีสรรค์พานิช),ต.หนองจอก อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หนองบัว,ต.หนองจอก อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ห้วยเสือ (มงคลประชาสรรค์),ต.สมอพลือ อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หาดทราย (เรือนมั่นนิรมิต),ต.ท่าเสน อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หว้า,ต.สะพานไกร อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หนองกาทอง (ม่วงนิรมิตร),ต.โรงเข้ อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หนองแก (กล่อมวิทยาคาร),ต.ไร่สะท้อน อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
หนองหอย,ต.อ่างทอง อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
หัวนอน,ต.ปากนคร อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
หญ้า,ต.นาทราย อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80280,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
หนองบัว,ต.ไชยมนตรี อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
หัวอิฐ,ต.โพธิ์เสด็จ อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
หลวงครู,ต.นาเรียง อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
หาดสูง,ต.ไม้เรียง อ.ฉวาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
หน้าเขา,ต.เขาพระ อ.พิปูน จ.นครศรีธรรมราช 80270,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ห้วยแหยงราษฎร์ภูเก็ตอุทิศ,ต.ท่าประจะ อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หนองจิก,ต.นางหลง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หมาย,ต.ท่าขึ้น อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
หญ้าปล้อง,ต.ดอนตะโก อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
หนองดี,ต.ทุ่งสง อ.นาบอน จ.นครศรีธรรมราช 80220,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
หอยกัน,ต.ปากแพรก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หงส์แก้ว,ต.บางตะพง อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หนา,ต.เสาธง อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80350,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หัวลำภู,ต.หัวไทร อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หน้าสตน,ต.หน้าสตน อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
หัวค่าย (พิศาลอุปถัมภ์),ต.ทรายขาว อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ห้วยพระ,ต.นาพรุ อ.พระพรหม จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
หนองแตน,ต.นาสาร อ.พระพรหม จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
หลักช้าง,ต.หลักช้าง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ห้วยโต้,ต.ทับปริก อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
ห้วยคราม,ต.ห้วยยูง อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
ห้วยกรวด,ต.มะลวน อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
หัวเตย,ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
หนองไทร,ต.หนองไทร อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
หาดส้มแป้น,ต.หาดส้มแป้น อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
หัวกรูด,ต.ปากน้ำ อ.เมืองชุมพร จ.ชุมพร 86120,เขตพื้นที่การศึกษาชุมพร เขต 1
หูรอ,ต.นาชะอัง อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
หาดทรายแก้ว,ต.ตากแดด อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
หนองบัว,ต.นาสัก อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
ห้วยลาด,ต.ท่าหิน อ.สทิงพระ จ.สงขลา 90190,เขตพื้นที่การศึกษาสงขลา เขต 1
หัวเค็ด,ต.ระโนด อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
หัวคุ้ง,ต.คลองแดน อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
หัววัง,ต.บ้านใหม่ อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
หน้าเมือง,ต.พังยาง อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
หัวป่า,ต.บ้านขาว อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
ห้วยคู,ต.สำนักแต้ว อ.สะเดา จ.สงขลา 90120,เขตพื้นที่การศึกษาสงขลา เขต 3
หูแร่,ต.ทุ่งตำเสา อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
หินเกลี้ยง,ต.ท่าข้าม อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ห้วยพุด,ต.รำแดง อ.สิงหนคร จ.สงขลา 90330,เขตพื้นที่การศึกษาสงขลา เขต 1
หนองหอย,ต.วัดขนุน อ.สิงหนคร จ.สงขลา 90330,เขตพื้นที่การศึกษาสงขลา เขต 1
หน้าเมือง,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
หนองเป็ด,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ห้วยนาง (วันครู2501),ต.ห้วยนาง อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
หนองสมาน,อ.หาดสำราญ จ.ตรัง 92120,เขตพื้นที่การศึกษาตรัง เขต 1
หัวหมอน,อ.เมืองพัทลุง จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1
หวัง,อ.กงหรา จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1
หานโพธิ์,อ.เขาชัยสน จ.พัทลุง 93130,เขตพื้นที่การศึกษาพัทลุง เขต 1
หัวเขาชัยสน,อ.เขาชัยสน จ.พัทลุง 93130,เขตพื้นที่การศึกษาพัทลุง เขต 1
หรังแคบ,อ.ควนขนุน จ.พัทลุง 93110,เขตพื้นที่การศึกษาพัทลุง เขต 1
หัวควน,อ.ปากพะยูน จ.พัทลุง 93120,เขตพื้นที่การศึกษาพัทลุง เขต 1
หน้าถ้ำ (พุทธไสยานุสรณ์),อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1